t1 t10 t100 t1000 t10000 ws wd th hh fireError executionTime
 11  14  12  56  98  21 157  46  88    1.188853     28
  8  15  11  25 100  34  99  36  83    1.169443     69
 13  12   8  24  74  18 262  41  77    2.609611    249
 14   9  11  61  81  88 205  40  90     1.05266      8
 11   7  13  28  89  28  34  35  38     2.28794    429
 11  12   6  60  74 131  83  47  71    1.115892     81
  9   2  13  30  84 106  68  31  87    1.102643     60
  4  14  15  50  90  64  35  43  73    1.223357     40
  7  14  14  51  84  81 342  47  66    1.342781   1397
 15   7   9  45  98  95 203  36  37    1.057578     12
 12   6   4  63  80  76 121  32  52    1.060218     11
  9   9   2  30  90 141   1  31  98    1.198064    394
  8   8   5  63  80  32 209  34  96    1.517601    573
  3  13  15  45  74  65  64  31  97    1.078459     19
 12   9   4  33 100 142 171  47  80    1.034238     15
  9   6  15  21  87  16 244  44  51     2.21411    240
  5   9   7  26  70 129 119  31  62    1.054396      8
 12  10   5  55  95 103  60  38  80    1.030911     11
  9   2   4  61  90  18 319  39  46    7.096567   1638
  6  11   8  48  80  59 297  30  61    4.067018   3582
  8  14  13  35 100  26 137  40  63    1.206334     36
 11   9   8  62  83  16  96  47  99    1.367531    103
  7  14   3  65  90  21 209  42  99     1.47191    161
  4  12   4  40  96 142 276  30  45    2.548452   1373
  6  15   4  29  86  59  31  32  49    1.473935    214
 13  12   6  66  75  77 278  36  98    2.534118   1967
  3  14   4  68  80  52  96  30  45     1.08269     42
 14   7  11  38  74 150 177  48  70    1.041954     18
 15  14  13  70  87  40 148  47  65    1.058941     36
  3   9   6  67  94  83 128  37  65    1.047391     19
  9  11  14  27  81 143 286  41  66    2.959674   2768
 10   7  12  26  70 147 113  46  52    1.064956     12
  9  10  11  41  76  67 211  33  43    1.056975      9
  5  14   2  35  94 128 115  47  87    1.048826      7
 12   5  15  37  92 133 136  40  34    1.054552      9
  8   3  15  40  90 144 130  50  87     1.07231     14
  8  10   2  31  99  25 164  32  52    1.243972     66
 12   6  12  22  78  84 126  44  98    1.056095      9
  6  15   7  64  88   5 201  47  84    1.085198      8
  9  14   5  22  73  69 219  31  39    1.054203      8
 12   5  12  30  74  26 213  37  36    1.763635    461
 10   3   6  22  82 123 194  31  33    1.071008     14
 13   3  11  52  82 100 112  38  87    1.090105     45
  2  11  12  31  94  66 162  47  53    1.031369     14
 13   9   8  47  81  30  35  32  95    1.027138     32
 10   9   2  35  93  52  82  38  75    1.164103    174
  4   2  11  29  79 130 203  42  68    1.094445     92
  3   2   7  22  93   4  41  31  99     1.00141      7
 10   2   5  46  70 142 125  32  46    1.082606     36
 12   5   5  33  70  12 228  35  76     1.46804     99
 11   7  14  60  78 139  78  46  87    1.144585     66
  4  13  10  30  78  91  76  40  62    1.164923     89
 15  11   3  42  98  26  74  34  83    1.596012    421
  5  11   9  54  85  66 156  34  72    1.029778     18
  8   9  15  48  99 129 246  48  53    1.380672    457
 10   6   4  44  73  64 130  34  89    1.053925     20
  6   9  15  58  86  92  45  33  87    1.155374     55
  8   8  14  54 100  10 203  45  84    1.181572     30
  8  14   2  60  92  44 105  37  48    1.084246     40
  4  12   6  38  83  58  35  49  95     1.07442     31
  4  13   2  28 100  98 140  45  86    1.030139     13
  7   8   5  55  93  84  40  46  39    1.430872    422
 13   7   3  56  81  45 205  46  68      1.1038    241
 14   9   9  67  72  93 143  36  90    1.034395     15
  9  15   4  32  78 149 251  32  81    1.373439    409
 15   8  15  60  81  57  84  38  48    1.138726    102
  8  10  11  67  81  73 242  33 100     1.27281    388
 11   9   7  52  79  90  34  44  31    1.504497    454
  3   8   7  37  87 129  97  49  61    1.096856     46
 12   2   2  29  88 140  95  37  78    1.149998     96
 12   9  11  47  99  16 256  38  94     2.34207    253
  3   4   6  68  83 113 146  48  45    1.062666     18
  3   6  10  38  98  39 135  47  45    1.158328    118
  5  11   7  67  91  29 124  34  31    1.244961    147
 13  13  10  62  82 131  57  37  46    1.245636    791
  8  15   7  25  96  96 228  37  69    1.029754     10
 15  12  13  39  93  15 251  40  70    1.820176    164
  8  10  11  45  81   8 211  39  88    1.137942     18
 11   4   3  35  72 146 105  42  98    1.097037     53
  3   9  13  61  78  67 135  44  33    1.042292     17
 10   5   7  20  79 144 218  47  59     1.08914    117
 14   7   6  44 100 150 161  40  56    1.038663     17
  3   6   8  49  93 134  36  50  44    1.407617    137
  3  13  13  56  79  81 185  40  64    1.035432     14
  3  15   6  34  88 129  94  33  60    1.079279     31
  9   8   4  25  70  87  81  38  98    1.173856    169
  6  12   5  39  77  90 114  47  60    1.052876     19
 13   7  11  32  87  53 247  46  36    1.530019   1264
  7   7  15  37  93  31 132  45  96      1.2483    222
  2  14  12  34  80  38 186  34  55    1.096651     29
  8  10   6  61  90  15  91  50  63     1.37374     94
 14  10  10  70  77 124 237  30  78     1.18737    179
 13  11  14  56  99 116   1  35  42    1.410896    611
  6  11   2  31  73 104 111  46  38    1.057819     24
  7   8   7  64  82  31  87  48  82    1.539977    502
  4   7  15  44  94   3 259  49  97    1.122161      9
  5   9   7  22  81 124  69  46  93    1.199523    293
 15   9   9  38  98  76 120  38  42    1.050309      8
 13  15  15  48  81 101  86  47  35    1.089285     36
  6  13  10  66  74  54  32  42  80    1.167286     88
 15   4  14  64  89 107 212  33  45    1.083426     67
  3  12   4  43 100 150  32  50  52    1.305577     48
 12   8  10  30  79  80 199  30  87    1.051562     20
  6   8  14  62  77  50  13  38  52    2.018638    572
  6  14   2  38  71  75  91  41  73    1.086536     28
 14  13  14  26  73  44 171  44  88    1.050923     16
  4  11  14  20  96  29 245  33  80    2.676677   1389
  5  14   7  20  75  10 176  35  99     1.12837      6
  3   5   5  56  92  24 112  36  37    1.445098    197
 14   9   9  64  94  57 118  49  42    1.052696     22
  2  12  13  48  75 135 142  35  47    1.032611     15
 12   3   4  27  95  95 139  44  43    1.065475     18
  9  10  14  54  90  72 188  48  72    1.040688     14
  7  15  11  40  93 136 110  34  84    1.052322     21
 12   5   3  26  82 112   0  34 100    1.145019    469
  4  15  10  29  71 132 165  48  43    1.023545     11
  8   2   3  38  78  98 154  43  44     1.07131     27
 10   4   8  31  71  23  11  44  94    1.345277    372
  2   2  10  59  72  44 159  40  30    1.161788    203
 10   6   5  51  86  15  20  50  98    0.994201     10
 15   2  13  34  70 150 209  39  94    1.095349     72
 12  10   5  24 100  16  10  34  53    1.339164    179
 10   5   7  32  75  39  18  40  55    2.274256    424
  7   5  15  37  85 127  61  33  95    1.106115     40
 11  15  14  45  80  79 134  38  86    1.029513     11
 11  13   9  37  86  31 232  45  79    1.719391    427
 14  14   4  50  76 129 349  42  61    1.042002    608
  6   8   5  41  95 147  96  49  95    1.096856     65
 13   4  11  69  83  89  10  45  54    1.592082    358
  8  13   6  36  70 105 149  49  43    1.025209     12
  8   4   5  23  82  68 254  48  80    1.845904   1397
 14  11   5  25 100  71 144  35  54      1.0285     14
  4  15   4  70 100  33  75  30  93     1.29967    206
  9   5   5  34  93  63  29  36  93    1.186237     40
 14   3  11  27  75  68 224  49  84    1.195665    181
  5  14   8  47  75  79  42  44  66    1.212507     75
 14  13   5  44  97   4 160  33  54    1.050176      5
 11   2   6  35  88  94 243  36  79    1.597688    878
 12  13   5  52  86  47 143  48  69    1.037722     11
 13  12  13  58  99  19   7  33  49    2.097423    326
  5  14  12  47  83   7 321  35  84    1.118641     16
  6   7   3  46  96 145  92  35  34    1.116362     29
 13   4  13  59  87  93  75  32  58    1.207021    248
  5  12  12  60  70 100 233  45  87    1.141197     54
  9   5  14  45  88 138 215  31  83    1.084571     72
  8   9  15  48  84  79  15  35  46    1.958793    485
 10   6  12  44  71 143 144  50  75    1.046933     18
  3  11   8  36  71 133 168  43  89    1.031839     13
 15  12   6  21  73 138 241  46  94    1.199571    119
 10   8   2  52 100  25 154  33  31    1.246263     81
  3   3   8  35  70 146 140  34  36    1.072166     26
  9   8   8  31  83  94 238  39  35    1.245527    241
  9  12  10  70  83  22   3  50  63    2.551032    676
  4  13  12  60  95  96 111  49  75    1.055047      9
  8   6  14  25  90 149 109  37  37     1.07653     15
  2  11  10  47  78  71 109  50  81    1.062039     12
  2  12   9  45  70  77 228  44  69    1.041906      6
  5   4   9  66  90 148 111  30  93     1.08914     21
  9   8   6  20  74  80  97  40  87    1.092239     17
  7   2  11  57  98  19 111  43  52    1.462446     91
  3  12   5  58  83  57 161  39  71    1.028548      6
  2  12   8  24  86  57 232  38  38    1.146706     53
 14   2   8  30  80 135 228  49  80     1.26595    299
  7   8   7  22  82  31  87  48  82    1.539977    496
 14  10  13  63  77 124 237  30  78     1.18737    132
 14   2   3  30  80 135 228  49  80     1.26595    403
  5   7   8  64  82 124  69  46  93    1.245913    451
  7   9  15  37  93  31 132  45  96    1.224538    184
  6  12   5  39  79  90 111  35  44    1.055939      9
  3  13  13  56  77  81 185  40  64    1.035432      9
  9   8   4  25  72  87  81  38  77    1.174206    144
 12   9   9  59  75 118 168  48  44    1.033551      6
 13  12   4  46  87 126 168  36  39    1.026125     12
  4  14  12  62  76  77 271  48  49    2.186358   1487
  5  11   6  57  99  14 150  47  63    1.181101     28
  6   9   4  68  94  32 245  50  44    2.585969   1747
  6  12   5  22  77  90 114  47  60    1.052876      8
  2  12   3  24  86  57 232  38  38    1.146706     53
  6  12   5  39  90  90 111  35  44    1.055939      9
  6   9   2  31  73 104 111  46  38    1.062413     12
  8  10   6  61  77  15  91  50  63     1.37374     39
  3  13  13  56  74  81 185  40  64    1.035432      6
  3  15   6  22  88 129  94  33  60    1.079279     13
 11   2   3  33  87  67 356  41  88   9999.9999    900
 14  12  12  37  86  60 303  30  75   9999.9999    900
  3  10   7  44  72  70 281  45  82   9999.9999    900
  3   4   5  32  92 144 354  48  88   9999.9999    900
  3   2   8  31  72 125 292  48  32   9999.9999    900
  3   3   9  61  80 149 254  34  39   9999.9999    900
 14   5   2  65  98 112 307  32  34   9999.9999    900
  2  13  13  42  92  82  38  39  50   9999.9999    900
  7   5  10  56  88  80 259  33  30   9999.9999    900
  8   4  15  47  70  68   4  39  49   9999.9999    900
  6   7  11  34  82  54 313  47  96   9999.9999    900
  9  14   9  64  82 147 269  43  88   9999.9999    900
  9   7   2  40  98  58  41  46  31   9999.9999    900
  5   7   9  45  71 146 307  42  98   9999.9999    900
  2   5  12  51  76  66 298  46  70   9999.9999    900
  9  15   2  62  88 148 324  30  50   9999.9999    900
  4   9   6  58  88  79 271  35  77   9999.9999    900
  2   5   8  43  71  18 267  44  67   9999.9999    900
  5   9   6  26  95  33 298  44  50   9999.9999    900
  8  10  15  48  88 146  10  48  36   9999.9999    900
 11   5   7  64  90 116 348  44  75   9999.9999   1800
 10   5  10  49  87  95  12  40  32   9999.9999   1800
  6   5  14  35  91  30 302  41  36   9999.9999   1800
  6   8  12  50  78 109 332  46  53   9999.9999   1800
  4   3   4  26  99  39 334  35  93   9999.9999   1800
  9  10   2  21  94  50 265  47  67   9999.9999   1800
 11   5  11  46  86 146 260  31  87   9999.9999   1800
  5   6   9  61  72 117 268  45  59   9999.9999   1800
 10   4   3  37  89 120 315  36  37   9999.9999   1800
 10   5   2  67  78 138 323  45  89   9999.9999   1800
 11  10  11  33  94  66 279  43  56   9999.9999   1800
 15   3   2  20  96  24 280  42  92   9999.9999   1800
  2   5   8  52  99  84 342  37  95   9999.9999   1800
  3   8   5  34  71  59 277  31  92   9999.9999   1800
  8  13   3  24 100 144 325  42  91   9999.9999   1800
  4  13   8  29  86 107 333  38  88   9999.9999   1800
 15   5  15  61  77  28 288  46  33   9999.9999   1800
 12  11   5  65  98 120 335  41  62   9999.9999   1800
 11   3   3  23  87  29 304  45  37   9999.9999   1800
  2   8  14  61  85 134  40  34  51   9999.9999   1800
  5   3  15  22  88  29 311  31  62   9999.9999   1800
  2   5  15  38  95  70 340  39  96   9999.9999   1800
 10   7   2  42 100 149 309  33  75   9999.9999   1800
  5   8   6  52  87 149 291  34  83   9999.9999   1800
 11   3   3  29 100 146 307  35  73   9999.9999   1800
  9   9   8  52  91 139 324  36  64   9999.9999   1800
  8   8   9  58  94  89  39  33  55   9999.9999   1800
  5  14  15  57  81 101 313  37  71   9999.9999   1800
  4   2   7  23  97 129  53  42  78   9999.9999   1800
 10  15   8  37  96  64 336  42  66   9999.9999   1800
  4   5  12  52  82  24 281  40  45   9999.9999   1800
  5  15  11  31  87  83  47  31  47   9999.9999   1800
 14   4  11  65  85 145 308  49  94   9999.9999   5057
 14   9  10  27  81  68 337  31  74   9999.9999   1225
 10   2  11  69 100 103 276  38  83   9999.9999   2767
 13   9   2  56  89 117  46  44  37   9999.9999  22783

